Symbol,Name,QuoteAsset
CHZ,Chiliz,USD
OMG,OMG Network,USD
LINK,Chainlink,USD
MANA,Decentraland,USD
BNB,Binance Coin,USD
FTM,Fantom,USD
KAVA,Kava,USD
SNX,Synthetix,USD
FIL,Filecoin,USD
RUNE,THORChain,USD
AXS,Axie Infinity,USD
MATIC,Polygon,USD
DYDX,dYdX,USD
1INCH,1inch,USD
VET,VeChain,USD
XTZ,Tezos,USD
COMP,Compound,USD
QNT,Quant,USD
DOGE,Dogecoin,USD
ZRX,0x,USD
ENJ,Enjin Coin,USD
SOL,Solana,USD
ETH,Ethereum,USD
ALGO,Algorand,USD
AAVE,Aave,USD
CRV,Curve DAO Token,USD
CEL,Celsius,USD
NEAR,NEAR Protocol,USD
ICP,Internet Computer,USD
ATOM,Cosmos,USD
LTC,Litecoin,USD
ETC,Ethereum Classic,USD
ADA,Cardano,USD
YFI,yearn.finance,USD
SAND,The Sandbox,USD
KSM,Kusama,USD
EOS,EOS,USD
AVAX,Avalanche,USD
DOT,Polkadot,USD
XLM,Stellar,USD
UNI,Uniswap,USD
BTC,Bitcoin,USD
THETA,Theta Network,USD
ZIL,Zilliqa,USD
FTT,FTX Token,USD
XRP,XRP,USD
BAT,Basic Attention Token,USD
TRX,TRON,USD
SHIB,Shiba Inu,USD
